rebalance_date,invest_year,select_year,ticker,assigned_weight,n_stocks,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.05,20,1.0,50.0
1998-01-02,1998,1997,MSFT,0.05,20,0.0,0.0
1998-01-02,1998,1997,XOM,0.05,20,0.0,0.0
1998-01-02,1998,1997,GE,0.05,20,0.0,0.0
1998-01-02,1998,1997,INTC,0.05,20,0.0,0.0
1998-01-02,1998,1997,MRK,0.05,20,0.0,0.0
1998-01-02,1998,1997,PG,0.05,20,0.0,0.0
1998-01-02,1998,1997,IBM,0.05,20,0.0,0.0
1998-01-02,1998,1997,PFE,0.05,20,0.0,0.0
1998-01-02,1998,1997,BMY,0.05,20,0.0,0.0
1998-01-02,1998,1997,WMT,0.05,20,0.0,0.0
1998-01-02,1998,1997,JNJ,0.05,20,0.0,0.0
1998-01-02,1998,1997,LLY,0.05,20,0.0,0.0
1998-01-02,1998,1997,VZ,0.05,20,0.0,0.0
1998-01-02,1998,1997,DIS,0.05,20,0.0,0.0
1998-01-02,1998,1997,AIG,0.05,20,0.0,0.0
1998-01-02,1998,1997,C,0.05,20,0.0,0.0
1998-01-02,1998,1997,CSCO,0.05,20,0.0,0.0
1998-01-02,1998,1997,PEP,0.05,20,0.0,0.0
1998-01-02,1998,1997,T,0.05,20,0.0,0.0
1998-04-01,1998,1997,KO,0.05,20,0.071384,3.5692
1998-04-01,1998,1997,MSFT,0.05,20,0.0,0.0
1998-04-01,1998,1997,XOM,0.05,20,0.0,0.0
1998-04-01,1998,1997,GE,0.05,20,0.0,0.0
1998-04-01,1998,1997,INTC,0.05,20,0.0,0.0
1998-04-01,1998,1997,MRK,0.05,20,0.0,0.0
1998-04-01,1998,1997,PG,0.05,20,0.0,0.0
1998-04-01,1998,1997,IBM,0.05,20,0.0,0.0
1998-04-01,1998,1997,PFE,0.05,20,0.0,0.0
1998-04-01,1998,1997,BMY,0.05,20,0.0,0.0
1998-04-01,1998,1997,WMT,0.05,20,0.0,0.0
1998-04-01,1998,1997,JNJ,0.05,20,0.0,0.0
1998-04-01,1998,1997,LLY,0.05,20,0.0,0.0
1998-04-01,1998,1997,VZ,0.05,20,0.0,0.0
1998-04-01,1998,1997,DIS,0.05,20,0.0,0.0
1998-04-01,1998,1997,AIG,0.05,20,0.0,0.0
