rebalance_date,invest_year,select_year,ticker,assigned_weight,n_stocks,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.05,20,1.0,0.0
1998-01-02,1998,1997,MSFT,0.05,20,0.0,0.0
1998-01-02,1998,1997,XOM,0.05,20,0.0,0.0
1998-01-02,1998,1997,GE,0.05,20,0.0,0.0
1998-01-02,1998,1997,INTC,0.05,20,0.0,0.0
1998-01-02,1998,1997,MRK,0.05,20,0.0,0.0
1998-01-02,1998,1997,PG,0.05,20,0.0,0.0
1998-01-02,1998,1997,IBM,0.05,20,0.0,0.0
1998-01-02,1998,1997,PFE,0.05,20,0.0,0.0
1998-01-02,1998,1997,BMY,0.05,20,0.0,0.0
1998-01-02,1998,1997,WMT,0.05,20,0.0,0.0
1998-01-02,1998,1997,JNJ,0.05,20,0.0,0.0
1998-01-02,1998,1997,LLY,0.05,20,0.0,0.0
1998-01-02,1998,1997,VZ,0.05,20,0.0,0.0
1998-01-02,1998,1997,DIS,0.05,20,0.0,0.0
1998-01-02,1998,1997,AIG,0.05,20,0.0,0.0
1998-01-02,1998,1997,C,0.05,20,0.0,0.0
1998-01-02,1998,1997,CSCO,0.05,20,0.0,0.0
1998-01-02,1998,1997,PEP,0.05,20,0.0,0.0
1998-01-02,1998,1997,T,0.05,20,0.0,0.0
1998-07-01,1998,1997,KO,0.05,20,0.128024,0.0
1998-07-01,1998,1997,MSFT,0.05,20,0.0,0.0
1998-07-01,1998,1997,XOM,0.05,20,0.0,0.0
1998-07-01,1998,1997,GE,0.05,20,0.0,0.0
1998-07-01,1998,1997,INTC,0.05,20,0.0,0.0
1998-07-01,1998,1997,MRK,0.05,20,0.0,0.0
1998-07-01,1998,1997,PG,0.05,20,0.0,0.0
1998-07-01,1998,1997,IBM,0.05,20,0.0,0.0
1998-07-01,1998,1997,PFE,0.05,20,0.0,0.0
1998-07-01,1998,1997,BMY,0.05,20,0.0,0.0
1998-07-01,1998,1997,WMT,0.05,20,0.0,0.0
1998-07-01,1998,1997,JNJ,0.05,20,0.0,0.0
1998-07-01,1998,1997,LLY,0.05,20,0.0,0.0
1998-07-01,1998,1997,VZ,0.05,20,0.0,0.0
1998-07-01,1998,1997,DIS,0.05,20,0.0,0.0
1998-07-01,1998,1997,AIG,0.05,20,0.0,0.0
1998-07-01,1998,1997,C,0.05,20,0.0,0.0
1998-07-01,1998,1997,CSCO,0.05,20,0.0,0.0
1998-07-01,1998,1997,PEP,0.05,20,0.0,0.0
1998-07-01,1998,1997,T,0.05,20,0.0,0.0
1999-01-04,1999,1998,MSFT,0.05,20,0.317416,0.0
1999-01-04,1999,1998,GE,0.05,20,0.0,0.0
1999-01-04,1999,1998,INTC,0.05,20,0.0,0.0
1999-01-04,1999,1998,WMT,0.05,20,0.0,0.0
1999-01-04,1999,1998,XOM,0.05,20,0.0,0.0
1999-01-04,1999,1998,KO,0.05,20,0.0,0.0
1999-01-04,1999,1998,IBM,0.05,20,0.0,0.0
1999-01-04,1999,1998,MRK,0.05,20,0.0,0.0
1999-01-04,1999,1998,PFE,0.05,20,0.0,0.0
1999-01-04,1999,1998,CSCO,0.05,20,0.0,0.0
1999-01-04,1999,1998,BMY,0.05,20,0.0,0.0
1999-01-04,1999,1998,PG,0.05,20,0.0,0.0
1999-01-04,1999,1998,C,0.05,20,0.0,0.0
1999-01-04,1999,1998,JNJ,0.05,20,0.0,0.0
1999-01-04,1999,1998,BAC,0.05,20,0.0,0.0
1999-01-04,1999,1998,LLY,0.05,20,0.0,0.0
1999-01-04,1999,1998,VZ,0.05,20,0.0,0.0
1999-01-04,1999,1998,HD,0.05,20,0.0,0.0
1999-01-04,1999,1998,AIG,0.05,20,0.0,0.0
1999-01-04,1999,1998,T,0.05,20,0.0,0.0
1999-07-01,1999,1998,MSFT,0.05,20,0.126233,0.0
1999-07-01,1999,1998,GE,0.05,20,0.0,0.0
1999-07-01,1999,1998,INTC,0.05,20,0.0,0.0
1999-07-01,1999,1998,WMT,0.05,20,0.0,0.0
1999-07-01,1999,1998,XOM,0.05,20,0.0,0.0
1999-07-01,1999,1998,KO,0.05,20,0.0,0.0
1999-07-01,1999,1998,IBM,0.05,20,0.0,0.0
1999-07-01,1999,1998,MRK,0.05,20,0.0,0.0
1999-07-01,1999,1998,PFE,0.05,20,0.0,0.0
1999-07-01,1999,1998,CSCO,0.05,20,0.0,0.0
1999-07-01,1999,1998,BMY,0.05,20,0.0,0.0
1999-07-01,1999,1998,PG,0.05,20,0.0,0.0
1999-07-01,1999,1998,C,0.05,20,0.0,0.0
1999-07-01,1999,1998,JNJ,0.05,20,0.0,0.0
1999-07-01,1999,1998,BAC,0.05,20,0.0,0.0
1999-07-01,1999,1998,LLY,0.05,20,0.0,0.0
1999-07-01,1999,1998,VZ,0.05,20,0.0,0.0
1999-07-01,1999,1998,HD,0.05,20,0.0,0.0
1999-07-01,1999,1998,AIG,0.05,20,0.0,0.0
1999-07-01,1999,1998,T,0.05,20,0.0,0.0
2000-01-03,2000,1999,MSFT,0.05,20,0.353145,0.0
2000-01-03,2000,1999,CSCO,0.05,20,0.0,0.0
2000-01-03,2000,1999,WMT,0.05,20,0.0,0.0
2000-01-03,2000,1999,GE,0.05,20,0.0,0.0
2000-01-03,2000,1999,XOM,0.05,20,0.0,0.0
2000-01-03,2000,1999,INTC,0.05,20,0.0,0.0
2000-01-03,2000,1999,C,0.05,20,0.0,0.0
2000-01-03,2000,1999,IBM,0.05,20,0.0,0.0
2000-01-03,2000,1999,HD,0.05,20,0.0,0.0
2000-01-03,2000,1999,ORCL,0.05,20,0.0,0.0
2000-01-03,2000,1999,KO,0.05,20,0.0,0.0
2000-01-03,2000,1999,PG,0.05,20,0.0,0.0
2000-01-03,2000,1999,MRK,0.05,20,0.0,0.0
2000-01-03,2000,1999,AIG,0.05,20,0.0,0.0
2000-01-03,2000,1999,JNJ,0.05,20,0.0,0.0
2000-01-03,2000,1999,QCOM,0.05,20,0.0,0.0
2000-01-03,2000,1999,BMY,0.05,20,0.0,0.0
2000-01-03,2000,1999,PFE,0.05,20,0.0,0.0
2000-01-03,2000,1999,T,0.05,20,0.0,0.0
2000-01-03,2000,1999,VZ,0.05,20,0.0,0.0
2000-07-03,2000,1999,MSFT,0.05,20,0.225579,0.0
2000-07-03,2000,1999,CSCO,0.05,20,0.0,0.0
2000-07-03,2000,1999,WMT,0.05,20,0.0,0.0
2000-07-03,2000,1999,GE,0.05,20,0.0,0.0
2000-07-03,2000,1999,XOM,0.05,20,0.0,0.0
2000-07-03,2000,1999,INTC,0.05,20,0.0,0.0
